cas,CharacteristicName
1825-21-4,Pentachloroanisole
1852-43-3,Androsterone glucuronide
18559-94-9,Albuterol
1861-32-1,Chlorthal-dimethyl
1861-40-1,Benfluralin
186691-13-4,Tiotropium
187022-11-3,Acetochlor ESA
188425-85-6,Boscalid
1897-45-6,Chlorothalonil
19044-88-3,Oryzalin
191-24-2,Benzo[ghi]perylene
1912-24-9,Atrazine
1918-00-9,Dicamba
1918-02-1,Picloram
1918-11-2,Terbutol
1928-38-7,"2,4-D methyl ester"
1928714-96-8,Dechlorofipronil
193-39-5,"Indeno[1,2,3-cd]pyrene"
193740-76-0,Fluoxastrobin
1942-71-8,2-(p-tert-Butylphenoxy)cyclohexanol
19466-47-8,Stigmastan-3.beta.-ol
194992-44-4,Acetochlor OA
196611-19-5,2-(1-Hydroxyethyl)-6-methylaniline
196618-13-0,Oseltamivir
19666-30-9,Oxadiazon
19700-21-1,Geosmin
1982-49-6,Siduron
19988-24-0,Deethylhydroxyatrazine
2008-41-5,Butylate
201668-31-7,Flufenacet OA
201668-32-8,Flufenacet ESA
2032-65-7,Methiocarb
20427-84-3,Nonylphenol diethoxylate
20461-54-5,Iodide
205-99-2,Benzo(b)fluoranthene
205650-65-3,Fipronil Desulfinyl
205650-69-7,"1H-Pyrazole-3-carboxamide, 5-amino-1-[2,6-dichloro-4-(trifluoromethyl)phenyl]-4-[(trifluoromethyl)sulfinyl]-"
205939-58-8,Dimethenamid ESA
206-44-0,Fluoranthene
207-08-9,Benzo[k]fluoranthene
208-96-8,Acenaphthylene
209248-72-6,Fipronil sulfonate
21087-64-9,Metribuzin
210880-92-5,Clothianidin
21145-77-7,AHTN
213464-77-8,Orthosulfamuron
2163-68-0,2-Hydroxyatrazine
2164-17-2,Fluometuron
21725-40-6,Deethylcyanazine
21725-46-2,Cyanazine
218-01-9,Chrysene
219714-96-2,Penoxsulam
2212-67-1,Molinate
22224-92-6,Fenamiphos
22781-23-3,Bendiocarb
22967-92-6,Methylmercury(1+)
2303-17-5,Triallate
2312-35-8,Propargite
23135-22-0,Oxamyl
2315-61-9,"2-[2-[4-(1,1,3,3-Tetramethylbutyl)phenoxy]ethoxy]ethanol"
2315-67-5,"2-[4-(1,1,3,3-Tetramethylbutyl)phenoxy]ethanol"
2327-02-8,"3,4-Dichlorophenylurea"
23576-24-1,Desmethylnorflurazon
2371-42-8,2-Methylisoborneol
2385-85-5,Mirex
239110-15-7,Fluopicolide
23950-58-5,Pronamide
2408-40-4,Diethylstilbestrol glucuronide (DES-GlcA)
24176-68-9,4-Chlorobenzyl methyl sulfoxide
24549-06-2,2-Ethyl-6-methylaniline
24560-70-1,Ethinylestradiol 3-sulfate
2479-86-9,Androsterone sulfate
2479-90-5,Estrone glucuronide
2479-91-6,Estriol 3-glucuronide
2496-91-5,Disulfoton oxon sulfone
2496-92-6,Disulfoton oxon sulfoxide
2497-06-5,Disulfoton sulfone
2497-07-6,Oxydisulfoton
25057-89-0,Bentazon
25311-71-1,Isofenphos
256-96-2,Iminostilbene
2588-03-6,Phorate sulfoxide
2588-04-7,Phorate sulfone
2588-05-8,Phorate oxon sulfoxide
2588-06-9,Phorate oxygen analog sulfone
2599-11-3,Hydroxysimazine
2600-69-3,Phorate O.A.
26002-80-2,Phenothrin
27203-92-5,Tramadol
272451-65-7,"1,2-Benzenedicarboxamide, N2-[1,1-dimethyl-2-(methylsulfonyl)ethyl]-3-iodo-N1-[2-methyl-4-[1,2,2,2-tetrafluoro-1-(trifluoromethyl)ethyl]phenyl]-"
27314-13-2,Norflurazon
27540-07-4,Equilin sulfate
2814-20-2,2-Isopropyl-6-methyl-4-pyrimidinol
28249-77-6,Thiobencarb
28343-61-5,4-Hydroxychlorothalonil
288-88-0,"1H-1,2,4-Triazole"
28981-97-7,Alprazolam
29091-21-2,Prodiamine
29094-61-9,Glipizide
29122-68-7,Atenolol
2921-88-2,Chlorpyrifos
29385-43-1,Tolyl triazole
298-00-0,Methyl parathion
298-02-2,Phorate
298-04-4,Disulfoton
298-46-4,Carbamazepine
29820-16-4,Hydroxydiazinon
300-62-9,Amphetamine
300-76-5,Naled
30243-77-7,Hexazinone Transformation Product D
3032-40-4,Demethylfluometuron
30391-89-0,"Benzamide, 2-amino-N-(1-methylethyl)-"
30558-43-1,2-(Dimethylamino)-N-hydroxy-2-oxoethanimidothioic acid methyl ester
30560-19-1,Acephate
309-00-2,Aldrin
311-45-5,Paraoxon
31110-62-0,O-Ethyl S-propyl phosphorothioate
31218-83-4,Propetamphos
314-40-9,Bromacil
319-84-6,.alpha.-Hexachlorocyclohexane
31972-43-7,Fenamiphos sulfoxide
31972-44-8,Fenamiphos Sulfone
3233-69-0,17-beta-Estradiol 17-sulfate
32428-71-0,2-Chloro-N-(2-ethyl-6-methylphenyl)acetamide
330-54-1,Diuron
330-55-2,Linuron
33213-65-9,.beta.-Endosulfan
333-41-5,Diazinon
3337-71-1,Asulam
33629-47-9,Butralin
3369-52-6,Endosulfan ether
3380-34-5,Triclosan
3383-96-8,Temephos
3397-62-4,"2-Chloro-4,6-diamino-s-triazine"
34014-18-1,Tebuthiuron
34256-82-1,Acetochlor
34911-55-2,Bupropion
35045-02-4,Metribuzin DA
